toxic_comment,neutral_comment1
Сука проснулся в самом разгаре моего охуенного сна;(,Проснулся в самом разгаре шикарного сна
Ни хуя в тебе романтичного : (,Нет в тебе нечего романтичного
вроде бы и каникулы начались. но мне пиздец как хуёво на душееее(,"Вроде бы и каникулы начались,но мне так плохо на душееее("
кажется опять лишнего пизданула(,Кажется опять лишнего сказала.
"Да ебал я в зад эту сраную розовую курткуГолубую хочу, скапздц((9(((((((99(","Не хочу я розовую куртку, голубую хочу."
"просто мне хуево было, когда я в обморок упала( поэтому я тебя понимаю.","Просто мне было плохо, когда я в обморок упала, поэтому я тебя понимаю"
"Даже этот говнюк нашел девушку, а я нет, у меня как всегда не взаимна((((","Даже этот чел нашёл девушку, а я нет. У меня как всегда не взаимно"
"успокойся, ты - мой личный сорт педра. Я любя. Просто я не умею шутить. Смирись (",успокойся. Я любя. Просто я не умею шутить. Смирись (
Перестаньте относится ко мне как к рэперу Напиши про меня песнюКогда к намКогда новаяЯ блять тоже человекВыбешивет это:(,Не относите сь ко мне как к реперу.Напишите  обо мне песню. Я тоже человек.Это все нервирует
"ДА НУ БЛИН!ВОТАААААААААААА!ВЕРНИСЬ МОЁ НАСТРОЕНИЕ,ВЕРНИСЬ!Я СЕБЯ ЗНАЮ!ЭТО НАДОЛГО!ТЕПЕРЬ ЗАГОНЯТЬСЯ БУДУ:(","ВОТАААААААААААА!ВЕРНИСЬ МОЁ НАСТРОЕНИЕ,ВЕРНИСЬ!Я СЕБЯ ЗНАЮ!ЭТО НАДОЛГО!ТЕПЕРЬ ЗАГОНЯТЬСЯ БУДУ"
кароч этот ссаный яндекс браузер лагает как мудила и я перешла на гугл хром((((((,Короче этот яндекс браузер лагаети я перешла на гугд хром.
Тая че за хуйня. От меня один отписался. Не работает твой пиар(((((((((((((((((((,"Тая, что за ужас. От меня один отписался. Не работает твой пиар."
Вот жопа заболел на выходные НА НОВЫЙ ГОД(((((,Заболел на выходные на новый год
"я лошара с самого утрапорезала ногу, как сегодня буду танцевать(","Я с самого утра порезала ногу, как сегодня буду танцевать("
"Не ну заебись че, Леша бухает, а Даша получает:(","Не ну здорово, Лёша бухает, а Даша получает"
я тоже. Настольгия:( пиздец время было,"Я тоже, ностальгия, вот время было"
"Ебучие больницы, как же они меня заебали(((","Больницы,как же они меня замучили"
Какого хуя пробка?! Час дня же ещё только! Подстава ебаная (((((,Аочему пробка?! Час дня ещё только! Подстава ужасная
"Заебца Бля,поругалась со всеми с кем могла!!Пиздец как круто!:(",Поругалась со всеми с кем могла! Как круто!
"пиздец, че тут сказать(","жесть, че тут сказать("
"Просыпаться рано утром хуево, если честно ;(","Просыпаться рано утром плохо, если честно"
"Блять, я скучаю по своему новосибирскому чуваку((",я скучаю по своему новосибирскому чуваку
ебаный стыд:(((,стыд:(((
"ты чо купил себе замок на ворота 40 милионов долларов, пидр?((",Ты что купил себе замок на ворота за 40 миллионов долларов?
материте меня! я хочу уже сдать эту ГИДРАВЛИКУ(,Ругайте меня! Я хочу уже сдать эту гидравлику(
[ебу мозг за конфетку] ((=,[докапываюсь за конфетку] ((=
", хуйня какая-то по татарскому:(",Ерунда какая-то по татарскому:(
"Вот просто пиздец,по другому не скажешь Куда блять катится мир...:((","Кошмар,по другому не скажешь, куда катится мир"
говно и срань. Все так и выходит!(,отвратительно. Все так и выходит!(
"да ничоу меня концерт через полтора часа, а ты бле (((((((я пиздец тут волнуюсь ((((","Да ниоу меня концерт через полтора часа,а ты ((((((я очент тут волнуюсь"
"Ура встану завтра во сколько захочу!ПРЕДНОВОГОДНЯЯ УБОРКА, УЕБА!Ну ЛАДНА====((((",Ура встану завтра во сколько захочу!ПРЕДНОВОГОДНЯЯ УБОРКА
"ааааааа, как же сука лень что нибудь учииииить(",Аааа как мне лень учить
да в песду я хочу танец без баб и все меня не ебет чего они там увидели нет охуели в край(,"Я хочу танец без женщин и все меня не волнует, чего они там увидели"
Ахуительно день начался!!!ЭТО ПРОСТО ПИЗДЕЦ(((так меня давно никто не подставлял(я в шоке блять!,Круто день начался!!!ЭТО ПРОСТО ПИпеЦ(((так меня давно никто не подставлял(я в шоке блин!
и - извращенство ебаное(((,И извращенство
да пиздец. мне реветь хочется от того что у меня нет настроения.;(,Мне плакать хочется от того что у меня нет настроения (
Это норма? Что делать то блин (( я ничего не учила и вообще я тупая пизда,Это норма? Что делать то блин(( я ничего не учила и вообще я глупая
Я ВЫШЕ ЧЕМ СИХУН (9999 ЕБА ((999 БЛЯ ((((999999,Я выше чем сихун(9999((999((((999999
"БЛЯ.контыч не работает,как так ?я же задрот (","Контыч не работает, как так?"
"Блять, не хочу делать географию, но и пиздячек не хочу.Чо делать?(((","Не хочу делать географию, но и наказания не хочу.Чо делать?((("
"Я настоящая дура из всех дур!((( Господи, прости меня...прости меняяяя((((","Я плохая из всех плохих!(((Господи, прости меня....прости меняяяя((("
"да вообще, все настроение в жопу, простите....","да вообще, всё настроение испортили, простите..."
ебалай(как так вышло то?,как так вышло
Вставать на каникулах в 7 утра хуева если честно ((,Вставать на каникулах в 7 утра мне не нравится
Да гребаный я стонотаФу самой противно. ((,я стонотаФу самой противно
ЛЕНТА ЧЕРЕЗ 7 МИНУТ МНЕ ВСТАВАТЬ!!!!!!!!!! ((((,"Лента,через 7 минут мне вставать"
"Я ОЧЧЕННЬ ГРУСТЕН, МЕНЯ НАСТИГ ТЛЕН((","Я ОЧЧЕННЬ ГРУСТЕН, МЕНЯ НАСТИГЛА ПЕЧАЛЬ"
ты чо меня разлюбил ваще к хуям(,Ты что разлюбил меня?
Валю сватают с классным парнем. Ну и пиздуй ваще тогда :(,Валю сватают с классным парнем ну и иди вообще тогда
"мне нравится, как все спокойно жрут и ДАЖЕ НЕ ДУМАЮТ, ГДЕ, МАТЬ ЕЕ, ТАМСИН??!!! ИДИОТЫ!!!!!!!!!!!!((((((","Мне нравится, как все спокойно едят и даже не думаю, где Тамсин?!? Сумасшедшие!("
"дайте мне мою любовь:((И отвлеките от этого уебка,который заколебал меня сообщениями вк((","дайте мне мою любовь:((И отвлеките от этого парня,который надоел мне сообщениями вк(("
"Я одна на физике!!!!ОДНОЮАБЛЯТЬНИКОГОНАХУЙБОЛЬШЕ!!я ж откинусь, не надо так :(",Я одна на физике. Никого нет. Не надо так
та дебилы( пожили бы на наши 300тыщ на всю жизнь... В зад бы Каддафи целовали,Не дальновидны они( пожили бы на наши 300тыщ на всю жизнь... Очень бы приветствовали Каддафи !
"такая ты овца, что даже не пишешь(только тут тебя и можно найти!9 я вот скучаю что-ли...","Ты даже не пишешь (только тут тебя и можно найти,а я вот скучаю"
сука ч у вас так весело((,У вас так весело((
КУПИ САПОГИДИ Ф ПИЗДУ ОН МНЕ НЕ НРАФКИ(((,КУПИ САПОГИДИ  ОН МНЕ НЕ НРАФКИ((
это пиздец. я не могу:( Россия - страна возможностей.,Я не могу. Россия страна возможностей
Брат через 5 Days приедетебать я как представлю нг без него то плоха сразу(,"Брат приедет через 5 дней, я как представлю нг без него то сразу плохо("
вот ты пидар(там ж 5 гб вроде,Там 5 гигабайт
"Где, блядь, снег, я еще раз спрашиваю? ((","Где снег, я спрашиваю"
нет Ира жди меня сука я позже выйду (((,Нет Ира жди меня я позже выйду
Как же меня всё заебало!!((хочу отдыхать!!!!!,Как мне все надоело!!!((хочу отдыхать!!!!!!!!
"Ксюша лох, продинамила такого мальчика:-(",Ксюша Продинамила такого мальчика
"Пиздеееец! Что со мной?!! Курю одну за другой:(Башка болит уже, и в тоже время становится легче","Удивляюсь... Что со мной?!! Очень много курю.Уже болит голова, но в то же время, становится легче"
не гони меня засранец . ШШШШШШШШШШШШШШШШШШШШШШШШШШШШШШШШ(( бу,Не гони меня
t (( мне кажеься завтра дохуя народу будет,Мне кажется завтра будет много народу
не надо только эту суку ретвитить(,не надо только ее ретвитить(
"Плачу сук,хочу джелену(((((( ррр ДЖЕЛЕНА ФОРЕВА ДЖЕЛЕНА ВЕРНИСЬ","Плачу,хочу джелену(((((( ррр ДЖЕЛЕНА ФОРЕВА ДЖЕЛЕНА ВЕРНИСЬ"
Ска....ска...ска... одна ебаная тройка по физике.:(((,Боже....боже...боже... одна чёртова тройка по физике.:((
""" Как только забудешь про мудака — мудак тут же это почувствует и объявится."" Но не появится никогда тот, о ком думаешь:(",Как только забудешь про него— он тут же это почувствует и объявится.
"это пиздец, даааааа ( из Испании прилетела вставала в 5ч утра",из Испании прилетела вставала в 5ч утра
"Но сегодня хуесосить в твиттере не буду.Зарядки нет почти, блеать(",Но сегодня обсуждать в твиттере не буду.Зарядки нет почти(
Бля...(  Зеда не будет в 4 утра по товар в Киев едит .... сука печаль,Зеда не будет в 4 утра по товар в Киев едет. Печаль.
"Обида ебаная,сегодня на тренировки придавило левую ногу на жими ногами 200кг.,делал икры и одна нага соскользнула : (",Сегодня на тренировке придавило левую ногу на жими ногами 200кг делал икры и одна нога соскользнула
"эх, толстожопые жирдяйки мы :са я вообще корова полная просто!!!((",Эх толстые мы: я вообще полная просто.
Пиздец я кароч нафотошопила себе тут все : ((((((((( на самом деле я прыщавая уродка в жизни,Кошмар я кароч нафотошопила себе тут все: (((((( на самом деле я некрасивая в жизни
"- Солнышко, нас вилочки не даааали:(Пидорасики!","Солнышки, нас вилочки не дали"
зубы мудрости снова решили продолжить расти ..и это пиздец :(,зубы мудрости снова решили продолжить расти
"посмотрев РТ по математике, поняла, что я ничего не знаю, и мне пизда :(",Посмотрев РТ по математике поняла что я ничего не знаю
"Пздц( ночью ждал хорошую знакомую, выпил кофе и уснул сукааа((( я такое упустил... Целый день буду в душу ебаться и нихуя не доброе утро(","Конец( ночью ждал хорошую знакомую, выпил кофе и уснул ((( я такое упустил... Целый день буду расстроен и совсем не доброе утро("
"блииииин, ты уже уехал. пидарок(( а я даже не успела с тобой попрощаться((",Ты уже уехал.А я даже не успела с тобой попрощаться
бля сук((( а леви любит Ирвина.,А Леви любит Ирвина!
его уже разогнали и всем пизды дали(,его уже разогнали и всех наказали(
и жопа у меня дрыщавая :(,И попа у меня маленькая.
"блин, заебало притворятся, нихуя мне не охуенно, мне плохо, очень плохо( уже неделю","Блин, надоело притворяться, мне не хорошо, мне плохо, очень плохо(уже неделю"
"Бля,бля,бля,я еду в лагерь,фаак,как я боюсь(","Я еду в лагерь, очень боюсь"
Даше даже похуй что я ей подарок купила:(( хер ну а не подарок теперь,Даше даже все равно что я ей подарок купила. Теперь ничего не подарю
"Блин. Не смотря на то, что ты мудак  , прошли всего сутки, а я соскучилась . Не ожидала :(","Не смотря на твоё поведение , прошли сутки , а я соскучилась . Не ожидала"
я тоже завтра выступаю на концерте для пиздюков :(,Я тоже завтра выступаю на концерте
чет пиздец я расклеился((((( начал слушать лирику(((( грустняки короче((( пиздец,Что то совсем я расклеился ( начал слушать Лирику ( грустняки короче(
Разбей разбей моё сердце тебе же на меня похуй и на моё сердце тоже похуй!!!(((,Разбей моё сердце тебе же всё равно на меня и моё сердце
Лера падла!!! Уезжает(((( я буду скучать ;**,Лера!!! Уезжает(((( я буду скучать ;**
"-Скажи 300!-Три сотни.-Сука,падла ебаная(((",-Скажи 300!-Три сотни.(((
ну бля ну  чо ты такой обломщик (((((((((((,Ну что ты такой обломщик ((((
"печаль заебала, хуйню вы несете постоянно( аш бесит","Печаль надоела, ерунду вы несёте постоянно( бесит"
больно отпиздили ( на ногах не могу стоять;(,так побили на ногах не могу стоять
"Так скучаю по этой пизде,но ей так насрать на меня :(","Так скучаю по ней, но ей наплевать на меня."
ммммммм сраный другзаебал звонить ужея лицемерка((,Друг надоел звонить
Это чмо  теперь номер 1 в моих друзьях((999(,Он теперь номер 1 в моих друзьях((999(
ПИДАРАСЫ! вступили за меня в сотню ебучих групп(((,вступили за меня в сотню ненужных групп(((
с меня требуют деньги на класс(((( пидары это было мне на сигареты :(9(((,С меня требуют деньги на класс. Это было мне на сигареты
ИНАЧЕ ТЕБЯ ИЗНАСИЛУЕТ ФИДОТ(,ИНАЧЕ ТЕБЯ НАКАЖЕТ ФИДОТ(
да... так и знала... сука((((((( пойти на принцип что ли? задрааало,да.. Так и знала(((пойти на принцип что ли?
"ахаха, эт да, еблан блять, забрал наших курсантов;(","Ахаха, это да, забрал наших курсантов("
Я ПРИШЕЛ ДОМОЙ.. НА УЛИЦЕ -40 ГРАДУСОВ. ННУНАХУЙСУКАДАЖЕ С 4 КОЛГОТКАМИ МНЕ ОЧЕНЬ ХОЛОДНО. ВИНТЕР ИС КОМИНГ. НА СТЕНЕ НЕ ОДОБРЯТ :((,"я пришел домой на улице -40 градусов,даже с 4 колготками мне очень холодно,винтер ис коминг,на стене не одобрят"
"Грызу гранит науки, скоро зубы сломаю и придется сосать O_o","Грызу гранит науки, скоро зубы сломаю"
Ебанутый день.. Я как сурок обкуренный ((((((((,Плохой день.. Я как сурок сонный ((((((((
сам ты гнида :( я обиделся .!.,Я обиделся
"Если ты не любишь свою работу, хули ты там делаешь? Чертовы хамки-консультанты, я снова превращаюсь в халка(","Если ты не любишь сою работу, что ты там делаешь? Невежливые консультанты, я снова превращаюсь в халка"
"Отсняли , такая хуйня, я не фотогеничный((","Отсняли, плохо получилось, я не фотогеничный"
"э, я тож долбоёб, значт мы не нашли друг друга?((","Э, я тоже недотепа, значит мы не нашли друга друга? (("
теперь ощущаю себя пиздец какой одинокой одиночкой:(,я ощущаю себя одинокой одиночкой
блиииииииинмне леньки переписывать алгебру=(ахахахавот я ленивая жопа!!!,блиииииииинмне леньки переписывать алгебру=(ахахаха вот я ленивая!!!
"Надоела математика, решил дать кому нибудь пиздюлей в гта, подбежал к парню и дал ему в ухо, а этот мудак достал ствол и убил меня.;(","Надоела математика, решил побить кого-то в гта, подбежал к парню и дал ему в ухо, а он достал ствол и убил меня.;("
"Хочу спать. Барышев придурок, разбудил меня;(","Хочу спать, Барышев меня разбудил"
Помойму я нравлюсь только убогим уродам(,По-моему я нравлюсь только некрасивым.
"Бля,нога пиздец болит( походу вчера и вправду было весело",нога ужасно болит( походу вчера и вправду было весело
"о неееет, мой Шеепс! Сволочь!=(","О нееет, мой Шеепс!"
"Овца блять тупарылая (Нече сказать нельзя, трепаться лишь только умеешь больше нечего (Все настроение с утра говно, из за тебя","Ни чегосказать нельзя, трепаться лишь только умеешь больше нечего (Все настроение с утра испорчено из за тебя"
"ты самый лучший ""пиздец"" в моей жизни(",ты самый лучший в моей жизни
"это сила похуизма. с теми, на кого не похуй я так не умею :(","Это сила безразличия.с теми,на кого не все равно,я так не умею"
"ага:(Учитывая еще то,ну это у меня,что я по нему скучаю просто пиздец...Не пипец,а уже пиздец!","Учитывая то, что я по нему скучаю очень сильно, поэтому не капец, а просто звездец"
"уже 18, блять как сводки с фронта(((((((((","Уже 18, как сводки с фронта"
"а сейчас, мне под вечер испортили настроение:(и мутный мудак.",А сейчас мне под вечер испортили настроение
"Это пиз*ец,а пизд*ц не лечится!(","Это кошмар,а кошмар не лечится!("
а ещё назвала меня сукой:( ваще:(,а еще обозвала меня
"Вот сука а, так и знал что пароль менять надо (( ёбнутая, нахуй не нужна такая","Так и знал, что пароль менять надо. Не нужна такая"
Завтра еще общество ;( пиздец . Думаю будет полегче !,Завтра еще общество ;(Думаю будет полегче
"сука, грустно, пиздец (((((((((9 новый год, блять, сейчас плакать буду","Грустно, девятый новый год, сейчас плакать буду."
ебать в понедельник домашку по ангу в шк нести(((и еще пробный 2 суки вы че читать разучились изложение с сочинением прочитать не смогли!!!!,"В понедельник домашнее задание по английскому в школу нести. И еще пробный - 2. Вы что, писать разучились? Изложение с сочинением прочитать не смогли."
лютый ты блять вообще говно(,Лютый ты вообще плохой
"Ужас,узнала о проишествии в Волгограде. УРОДЫ!!!!!!!!!!(((((",Ужас. Узнала о происшествии в Волгограде
"Зря ты бросил курить,ты стал ебнутым...(((",Зря ты бросил курить...
падлюк сраный Игорек :-(,Игорек плохой человек
"только зашла в лицей от левого пацана по жопе пролетело, а другой левый пацан обувь мою спиздить хотел:-( :-D :-D :-D","Только зашла в лицей, парень незнакомый меня шлепнул, а другой, тоже незнакомый, хотел мою обувь стащить."
Один фиг флажок сочи 2014 не дали((((( САННЫЕ ЖМОТЫ,Все равно флажок Сочи 2014 не дали. Жадные
я ненавижу это ГИА!!!!!!!!!!!! Просто  но надо делать.........(,Я не люблю это ГИА!!!!!!!!!!!!!!!!Просто но надо делать
"Я один, блин, а все такие большие, и все так не дружны:((((ОБИДНО ЧТО НАШЕ БЕЛИЕБЕРЫ ТАКИЕ СКУЧНЫЕ :(","Я один, а все такие большие и все так не дружны. Обидно, что наши такие скучные"
"ой бля,как же я понимаю тебя((я хочу въебать таким людям..один парень в классе всегда так делает","ой, как же я понимаю тебя((я хочу избить таких людей..один парень в классе всегда так делает"
с Катюхой умираем(( как заебло все блииин,С Катюхой умираем (( как все надоело
Обо мне никто не напишет в ТС. Ибо я депрессивное чмо. :(,Обо мне никто не напишет в ТС. ИБО Я депрессивный.
я просто дрочу на твой фон в твиттере. :(,мне нравится твой фон  в твиттере
"не спорю, я тоже эгоистичная зараза, но я не делаю как надо мне и похуй на других, типа вынь да полож, не надо так(","не спорю, я тоже эгоистичная, но я не делаю как надо мне и без разницы на других, типа вынь да положь, не надо так("
блять надо было на юп поставить сразу эту гифку сюк((99((,Надо было на юп поставить сразу эту гифку
взял и испортил настроениену и какое же ты говно:(,"Взял и испортил настроение, плохой ты человек"
сююк :-(((не пизди ты знаешь,:-(((не ври ты знаешь
"Нахуй вписки , на нг дома буду , с родными , как то перехотел наблюдать пьяные лицемерные ебла , не по мне хуйня эта","на новый год дома буду , с родными , как то перехотел наблюдать пьяные лица"
"сука, даже мама заметила мои жирные телеса на фотке. я в печали(","Даже мама на фотографиях заметила, что я поправилась, я в печали"
Ну надо же было так лохануться( я гребаная идиотка! Дура полная((,Ну надо же было так обложаться( Я глупая
"Он хотел себя кастрировать:ОООО :|АхахахахахБоже,как мы угараем с",Он хотел себя кастрировать. Как мы смеемся.
потому что школа хуесоска(,Потому что школа плохая (
"твою мать, хочу скачать этот трек, как его хуй знает. / и как я вообще попал на этот говнояндекс(","хочу скачать этот трек, но не знаю как. и как я вообще попал на яндекс?"
сама ты шлюха. Я заснуть из-за этогт не могла:( дом аж дрожал,"Сама ты такая, я заснуть из-за этого не могла. Дом аж дрожал"
Блять он олень сука коньки не взял вот баран я на своих буду(((,"Он коньки не взял, я на своих буду."
Я УЁБОК ВАСЕК(((((( Ну бляяяяяяяяяя :ссс - ГОВНА ПО ТЕЛИКУ! ЕБАТЬ! АЗАЗЭЛЬ Ахуеть. Ааааахууууууеееееть. —,Я Лузер ВАСЕК(((((( Ну блиииин :ссс - Непотребства ПО ТЕЛИКУ! АЗАЗЭЛЬ. Удивительно. Удивииительноооооо. —
"пиздец сейчас 5:02 и Саша пошел на работу,вот ему надо вставать рано(","Сейчас 5:02 и Саша пошел на работу, вот ему надо вставать рано"
НАК: взрыв в Волгограде произвела террористка-смертница . Вот сволочь . Гореть ей в аду :(,Взрыв в Волгограде произвела террористка-смертница
ПХАХАХА НУ А ХУЛЕ ТЫ ХОТЕЛ. ЕДИНОРОГОВ ТЕБЕ И КОЛБАСЫ. Я НЕ ЗНАЮ ПОЧЕМУ КОЛБАСЫ ПХАХАХА,А что ты хотел? Единорогов и колбасы. Я не знаю почему колбасы
"еба, а че меня не позвали?! Небось там сиги курите а они подорожали, мне не оставили наверн ебланы((","А че меня не позвали? Небось там сиги курите а они подорожали, мне не оставили наверно"
Ну ебана в рот Сколько можно ходить туда-сюда??(,Ну сколько можно ходить туда-сюда?? (
нет.. Я ща как чмо выгляжу( не хочу чтоб меня такую кто то видел(,"Нет, я плохо выгляжу, не хочу что бы меня так видели"
"Испортили нг еще и не отпускают, пиздец :(","Испортили нг ещё и не отпускают, плохо:("
Бля ну почему хуесоса которого я люблю нет здесь:((,Вот ну почему человека которого я люблю нет здесь:((
"Я НАВЕРНОЕ ЕДИНСТВЕННЫЙ ЛОХ, КОТОРЫЙ НЕ СМОТРИТ ШЕРЛОКА(((","Я наверное единственный человек, который не смотрит Шерлока"
да здесь все именно настолько хуево(,да здесь все так плохо
это я соскучилааааась пиздеееееец кааааак,Это я  соскучилась сильно
это он мне въебет:(,Это он меня ударит
"пьяная, счастливая мразь. :(","Пьяная, счастливая"
сукаааа(( такая ностальгия,такая ностальгия
"Блять, так хуево мне еще никогда не было :(",Так плохо мне ещё никогда не было:(
Я заебалась с тобой ругаться! Пойми я очень тебя люблю и скучаю*(,я устала с тобой ругаться пойми я очень люблю тебя и скучаю
ну бля скажите мне что бы вышел из гребанного тви(((,скажите мне чтоб вышел из твиттера
пиздецбедный Волгоград :((сегодня опять взорвали,"Бедный Волгоград, сегодня опять взорвали"
"Не, риал не курю Прост скучаю ебаныйпиздецда((((((((","Нет, правда не курю. Просто скучаю очень("
"Сука кошка! Теперь на лице, наверно, шрам будет(((","Теперь на лице, наверно, шрам от кошки будет((("
Опять потянулся бля и опять порвал рубашку сука(,Опять потянулся и опять порвал рубашку(
"Когда я выросту мама, я тебе расскажу о всей хуйне, что мы сейчас творим, а пока тебе лучше не знать;(",Когда я вырасту мама я тебе расскажу о всех приключениях что мы сейчас творим а пока тебе лучше не знать
Все;25 лет жизни в пизду бля((((  .. Извините енсли гоубо(,"Все, 25 лет жизни напрасно( извините,  если грубо ("
"Сукаааа, я неудачник :((",Я неудачник
:( это капец как они бесят уроды. Как их прогнать?,Как же они меня бесят.как их прогнать?
- а ты че с отверткой?!- нож забрали(___________Ахаха сука,"-А ты чего с отвёрткой? 
- Нож забрали
Ахаха"
Идите-ка вы в задницу со своим дождем(((,Идите со своим дождем
блять хватиту меня нет мороженого (((((((((((((((((((,хватит у меня нет мороженого (((((((((((((((((((
"племяш, я уехала. Тут пиздец фигово с интернетом:(","Племяш, я уехала. Тут очень плохо с интернетом"
"Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким настоящим боевым пидорасом:(  #…","Прочитала письмо Охлобыстина к президенту. Жаль,что Ваня оказался таким нехорошим человеком"
"Как же мне жалко елок((( ведь их дохуя осталось  , а никто не берет их, и не возьмет  (((((","Как же мне жаль елки... Их много осталось, а никто не берет и не возьмет..."
"ааааа, блять..как же хочется туда:(",как же хочется туда
"Ебанутый  :( не дает ни подтвердить, ни удалить новый блог :(","Не дает ни подтвердить, ни удалить новый блог.."
Я вчера 21к проебал.  Ну бля :-(,Я вчера 21 к потерял. Грустно
спасибо блять за  настроение.,Спасибо за настроение
бляяяяяя !!!!ааааа !!!нет настроения(,ааааа !!!нет настроения(
"да, Жиру хер заменит императора:(","да, Жириновский не заменит императора:("
Пиздец :(( всем похер на меня хотел посвятить картинку кому–нибудь но увы ни кто не сделал рт пиздец ;сс,"Всем безразлично на меня, хотел посвятить картину кому-нибудь но увы никто не сделал"
Кто лох?АНЯ ЛОХ Кто не идет на каток?АНЯ НЕ ИДЕТ НА КАТОК:(,Кто не идёт на каток? Аня не идёт на каток:(
Хочу спать(( а если лягу. То будет пиздец,"Хочу спать, а если лягу, будет плохо"
ну бляяя(( сочувствую тебе!! Зови Артемона срочно пусть выручает блять мужик он или не мужик тут даме помощь нужна!!,"Сочуствую тебе!!Зови Артемона пусть выручает,мужик он или не мужик,тут даме помощь нужна!!"
Блять.. я просто лох.. теперь вообще норм отношений не будет не когда !   Только из-за того что я хочу быть с одной ;(,"Теперь вообще нормальных отношений не будет никогда. Только из-за того, что я хочу быть с одной"
"Сука, надо билеты учить, а я не чего не учу((","Нужно учить билеты , а я нечего не учу"
опять это ебанутое состояние((,Опять это неудовлетворительное состояние((
"и вообще они не скобочки, мудачила((",они не скобочки
"Спать хочу ужастно ,... дохуя пиздец как (","Спать хочу ужастно ,..."
"Я бы сейчас хуйнул целую тарелку этого ебучего васаби, лишь бы мне трансляцию включили, удоды(((","Я бы сейчас съел целую тарелку этого васаби, лишь бы мне трансляцию включили((("
Уже сегодня вечеролс на меня будут пиздеть(((,Уже сегодня вечером на меня будут клеветать
"да,чмо я те твит нг посвятил((","да,я те твит нг посвятил(("
Пидрилка не позволяет мне переписыввать конспект:(,Он не позволяет мне переписывать конспект.
Эй ты блин! Какого хера мужик над собакой издевается ?! ;(,Эй ты ! Зачем мужик над собакой издевается ?! ;(
Сука даже времени нет твитнуть о том что поссать сходил :-(,Даже времени нет пост твитнуть
есть инфа что вы завтра будете жрать хуевую еду. :(,Есть информация что завтра вы будете питаться некачественной пищей
Мартини напилась и сверху шампанского  пиздец как хуево:((,"Мартини напилась и сверху шампанского, мне так плохо"
СУКИ! Опять свет вырубали! :(,Опять свет вырубали!
"Ебать как болит копчик.( Тисленко,хватит меня пиздить!!!","Очень болит копчик. ( Тисленко, хватит меня бить!!!"
"Господи, люди, свалите нахер со своей учёбой, у меня, блять, праздники, дома, с семьёй, мне глубоко похуй на ваши подготовки к экзамену &gt;:|","Люди, оставте меня в покое со своей учёбой, у меня праздники, дома, с семьёй. Я не хочу слушать про ваши подготовки к экзамену"
"Такие пиздострадания у нас с Махой, просто слезы:(","Такие страдания у нас с Махой, просто слезы"
но ИПАТЬ МЕНЯ ВОЗМУЩААААААААЕТ! чо ты против меня все повернул ! НАДО БЫЛО ИНАЧЕ!( херня!,"Но меня очень возмущает, что ты против меня все перевернул! Надо было иначе!"
"Пробили голову :( лежу пиздец :(в больнице забентовали лежу заснуть не могу уснуть ,все время  прокручиваю тебя , для меня ты одна.","Ранили голову. Лежу в больнице, забинтовали, заснуть не могу, все время думаю о тебе. Ты для меня одна"
мы любим тех кому похуй на нас(,"Мы любим тех, кто к нам равнодушен"
вот ты сучка:(,Вот ты плохая
"ПиздаболыРоберт, ты был моим кумиром(","Роберт, ты был моим кумиром("
"Знаете, я уже заебался таскать за Дашей всю ее хуйню :(( она даже велосипед в меня сует блять!!!","Знаете, я уже устал таскать за Дашей все её вещи :(( она даже велосипед в меня сует!!!"
так  херова...а руки поднять даже не могу...:((,так плохо...а руки поднять даже не могу...(
Чувствую Новый Год будет пиздец какой говняный(,Чувствую новый год будет не очень
пиздец и настя и ваня на меня сильно обиженны((((,И Настя и Ваня на меня сильно обижены
Я не школяр заебали ска азаза бамбит((((9,Я не школьник достали
бляяяхуево заболела(( даже вставать неохота,Сильно заболела. Даже вставать неохота
как я заебался объедаться всякой хуйней с НГ ;(((((((,как я замучался объедаться всякой ерундой с НГ
опять +3? да что за блядство?(,Опять +3? Что же это такое
"У этой девки волосы, как у Брук Кэнди!!!!!!!! O_o  ООООЧЕНЬ ДЛИННЫЕ И РОЗОВЫЕ!!!!!!!","У этой девчонки волосы, как у брук Кэнди очень длинные и розовые"
"бля, сука.... почему нет такого человека, которому бы я смогла полностью довериться((",Почему нет такого человека которому я могла бы доверится
ех ..кот ушёл из моей жизни. походу навсегда. ОБИДНО СУКА ПИЗДА (((,Ех…кот ушёл из моей жизни. Походу навсегда
заебись.. ссорится не хотела(и надеюсь это не так,Ссорится не хотела. И надеюсь это не так
